time,neg60pA,neg30pA,0pA,30pA,60pA,90pA,120pA,150pA,180pA,210pA,240pA
0.46295,-0.064568,-0.064962,-0.065037,-0.065018,-0.065101,-0.065027,-0.065142,-0.065233,-0.064911,-0.065265,-0.064843
0.463,-0.064565,-0.064953,-0.065052,-0.065042,-0.065113,-0.065024,-0.065142,-0.065257,-0.064917,-0.065256,-0.06484
0.46305,-0.064592,-0.064944,-0.065055,-0.065067,-0.065116,-0.065021,-0.065133,-0.065263,-0.064902,-0.06525,-0.06484
0.4631,-0.064614,-0.064947,-0.065043,-0.06507,-0.065119,-0.065018,-0.065139,-0.065251,-0.064889,-0.065228,-0.064861
0.46315,-0.064611,-0.064938,-0.065034,-0.065055,-0.065122,-0.065014,-0.065148,-0.065239,-0.064889,-0.065225,-0.064867
0.4632,-0.064608,-0.064941,-0.065027,-0.065045,-0.065125,-0.065024,-0.065136,-0.065245,-0.064892,-0.065213,-0.06487
0.46325,-0.064592,-0.064926,-0.065037,-0.06503,-0.065129,-0.065039,-0.06513,-0.065269,-0.064886,-0.065204,-0.064861
0.4633,-0.064589,-0.064923,-0.065049,-0.065018,-0.065129,-0.065054,-0.06512,-0.065291,-0.064886,-0.065198,-0.064849
0.46335,-0.064602,-0.064914,-0.065061,-0.065012,-0.065122,-0.065069,-0.06513,-0.065291,-0.064892,-0.065189,-0.064846
0.4634,-0.064635,-0.064935,-0.065064,-0.065003,-0.065122,-0.06506,-0.065148,-0.0653,-0.064892,-0.065182,-0.064849
0.46345,-0.064657,-0.06495,-0.065055,-0.065009,-0.065135,-0.065054,-0.065142,-0.065321,-0.064895,-0.065182,-0.06484
0.4635,-0.064675,-0.064968,-0.065031,-0.065021,-0.06515,-0.065054,-0.065136,-0.065315,-0.064911,-0.065192,-0.064837
0.46355,-0.064666,-0.064968,-0.065031,-0.065024,-0.065162,-0.065063,-0.065117,-0.065309,-0.064932,-0.065198,-0.064837
0.4636,-0.064647,-0.064962,-0.065037,-0.065024,-0.065159,-0.065069,-0.065111,-0.065294,-0.064944,-0.06521,-0.064846
0.46365,-0.064638,-0.06495,-0.065037,-0.065021,-0.065144,-0.065063,-0.065114,-0.065294,-0.064941,-0.065225,-0.064852
0.4637,-0.064632,-0.064935,-0.065052,-0.065009,-0.065107,-0.065063,-0.065117,-0.065309,-0.064914,-0.065237,-0.064858
0.46375,-0.064632,-0.06492,-0.065052,-0.065006,-0.065089,-0.065063,-0.065102,-0.065315,-0.064892,-0.06525,-0.064867
0.4638,-0.064635,-0.064907,-0.06504,-0.065003,-0.065074,-0.06506,-0.065087,-0.065315,-0.064883,-0.065237,-0.064858
0.46385,-0.064638,-0.064901,-0.065037,-0.065024,-0.065074,-0.065039,-0.065087,-0.065324,-0.06488,-0.065228,-0.064861
0.4639,-0.064644,-0.064898,-0.065009,-0.065042,-0.06508,-0.065033,-0.065102,-0.06533,-0.064895,-0.065231,-0.064855
0.46395,-0.06465,-0.064904,-0.065003,-0.065039,-0.065104,-0.065027,-0.065105,-0.065321,-0.064911,-0.065231,-0.064852
0.464,-0.064653,-0.064895,-0.065,-0.065018,-0.065113,-0.065014,-0.065099,-0.065306,-0.064926,-0.065219,-0.064855
0.46405,-0.064657,-0.064898,-0.064991,-0.065006,-0.065119,-0.065002,-0.06509,-0.065282,-0.064932,-0.065207,-0.064861
0.4641,-0.064663,-0.064914,-0.064997,-0.064994,-0.065101,-0.065002,-0.06509,-0.065279,-0.064938,-0.065204,-0.064874
0.46415,-0.064663,-0.064935,-0.065021,-0.064981,-0.065107,-0.065024,-0.065108,-0.065288,-0.064932,-0.065198,-0.06487
0.4642,-0.064657,-0.064965,-0.065049,-0.064987,-0.06511,-0.065033,-0.065133,-0.0653,-0.064926,-0.065213,-0.06487
0.46425,-0.064663,-0.064968,-0.065064,-0.06499,-0.06511,-0.065048,-0.065154,-0.065309,-0.064911,-0.065225,-0.06487
0.4643,-0.064663,-0.064959,-0.065089,-0.065,-0.065116,-0.065054,-0.065148,-0.065318,-0.064914,-0.06524,-0.06487
0.46435,-0.064644,-0.064947,-0.065107,-0.065,-0.065122,-0.065072,-0.065139,-0.0653,-0.064917,-0.065259,-0.064861
